City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
268,thompson,55.7435,-97.8558,-17.91,65,75,2.06,CA,1675551380
269,balbalan,17.4414,121.2019,14.05,93,70,1.12,PH,1675551381
270,salinopolis,-0.6136,-47.3561,25.82,87,99,5.52,BR,1675551154
271,loiza,18.4313,-65.8802,25.04,86,75,4.12,PR,1675551382
272,santa cruz de tenerife,28.4682,-16.2546,15.17,90,75,2.57,ES,1675551325
273,port hedland,-20.3167,118.5667,26.03,78,15,4.12,AU,1675551382
274,carnarvon,-24.8667,113.6333,26.05,70,1,3.19,AU,1675551162
275,luganville,-15.5333,167.1667,27.59,87,100,7.68,VU,1675551383
276,mahebourg,-20.4081,57.7,26.16,89,75,3.09,MU,1675551383
277,finschhafen,-6.6024,147.8681,27.56,78,99,0.18,PG,1675551384
278,klaksvik,62.2266,-6.589,4.51,74,50,13.96,FO,1675551371
279,pangnirtung,66.1451,-65.7125,-35.47,98,80,0.58,CA,1675551385
280,teya,60.3778,92.6267,-12.49,98,100,1.37,RU,1675551385
281,mount isa,-20.7333,139.5,25.87,29,84,5.66,AU,1675551235
282,tuatapere,-46.1333,167.6833,18.22,99,100,0.51,NZ,1675551386
283,adrar,20.5022,-10.0711,15.32,18,99,4.9,MR,1675551387
284,benguela,-12.5763,13.4055,24.28,81,96,1.43,AO,1675551237
285,kruisfontein,-34.0033,24.7314,21.34,62,64,2.14,ZA,1675551119
286,obo,5.3998,26.4869,22.95,18,53,2.4,CF,1675551387
287,mbeya,-8.9,33.45,14.84,95,98,0.14,TZ,1675551388
288,hudiksvall,61.729,17.1036,-3.86,75,80,5.56,SE,1675551388
289,okha,53.5739,142.9478,-28.58,100,76,4.03,RU,1675551229
290,witu,-2.3889,40.4382,26.09,94,70,2.7,KE,1675551390
291,rabo de peixe,37.8,-25.5833,13.73,82,20,3.09,PT,1675551313
292,constitucion,-35.3333,-72.4167,17.81,84,26,1.76,CL,1675551159
293,piura,-5.2,-80.6333,28.21,49,93,7.83,PE,1675551391
294,roma,43.2128,-75.4557,-9.54,55,100,4.12,US,1675551357
295,tanout,14.9709,8.8879,23.02,16,95,4.0,NE,1675551392
296,bathsheba,13.2167,-59.5167,26.34,78,75,9.77,BB,1675551392
297,codrington,-38.2667,141.9667,15.63,75,100,2.79,AU,1675551393
298,dukat,62.55,155.55,-31.56,98,100,1.84,RU,1675551393
299,touros,-5.1989,-35.4608,26.51,80,82,6.09,BR,1675551394
300,nisia floresta,-6.0911,-35.2086,27.45,81,94,4.39,BR,1675551380
301,pitimbu,-7.4706,-34.8086,27.33,79,18,4.7,BR,1675551394
302,ust-shonosha,61.1531,41.343,-9.96,97,100,1.66,RU,1675551395
303,talovaya,51.1144,40.73,-5.4,95,98,4.24,RU,1675551395
304,yaan,7.3833,8.5667,29.42,26,91,2.63,NG,1675551396
305,likasi,-10.9814,26.7333,15.71,98,100,1.26,CD,1675551396
306,padang,-0.9492,100.3543,24.03,87,100,1.29,ID,1675551221
307,otane,-39.8833,176.6333,24.45,59,2,2.62,NZ,1675551105
308,provideniya,64.3833,-173.3,-19.22,89,100,4.97,RU,1675551397
309,sitka,57.0531,-135.33,2.94,87,100,2.06,US,1675551172
310,hirara,24.8,125.2833,19.15,77,75,3.09,JP,1675551398
311,setermoen,68.861,18.3486,-1.98,94,100,3.53,NO,1675551398
312,cap malheureux,-19.9842,57.6142,25.26,83,97,1.34,MU,1675551398
313,brekstad,63.687,9.6654,2.05,75,75,9.77,NO,1675551399
314,katete,-0.7818,29.7544,17.25,61,42,1.55,UG,1675551400
315,salalah,17.0151,54.0924,23.05,73,40,1.54,OM,1675551400
316,borovichi,58.3878,33.9155,-7.46,96,94,2.57,RU,1675551401
317,sibulao,7.3242,122.2394,23.72,87,96,0.97,PH,1675551401
318,lagunas,-5.2269,-75.6753,28.77,54,75,1.26,PE,1675551402
319,komsomolskiy,40.4272,71.7189,5.4,81,100,4.12,UZ,1675551402
320,trelew,-43.249,-65.3051,33.76,16,4,11.46,AR,1675551402
321,shibetsu,43.659,145.132,-7.4,78,23,2.3,JP,1675551403
322,bardiyah,31.7561,25.0865,12.74,68,31,6.49,LY,1675551403
323,yilan,24.757,121.753,19.09,99,100,0.71,TW,1675551225
324,puri,19.8,85.85,16.29,66,11,1.75,IN,1675551404
325,seymchan,62.8833,152.4333,-24.97,94,100,1.5,RU,1675551405
326,vao,-22.6667,167.4833,26.4,87,92,8.72,NC,1675551405
327,caronport,50.4501,-105.8179,0.1,96,100,2.0,CA,1675551406
328,los llanos de aridane,28.6585,-17.9182,14.86,69,75,3.6,ES,1675551406
329,yuzawa,39.1667,140.5,-1.61,81,93,1.45,JP,1675551407
330,timmins,48.4669,-81.3331,-13.1,78,100,6.69,CA,1675551393
331,srandakan,-7.9386,110.2506,25.01,86,100,4.58,ID,1675551407
332,ozu,33.5,132.55,2.32,72,6,2.45,JP,1675551408
333,saint george,37.1041,-113.5841,16.91,30,0,1.54,US,1675551272
334,areosa,41.7178,-8.8571,10.45,66,0,1.97,PT,1675551408
335,gigmoto,13.7796,124.39,25.14,88,87,6.28,PH,1675551409
336,yarada,17.65,83.2667,21.81,70,6,1.87,IN,1675551409
337,rodrigues alves,-7.738,-72.6509,25.11,92,79,0.98,BR,1675551410
338,payakumbuh,-0.2202,100.6308,20.83,98,100,0.79,ID,1675551410
339,narsaq,60.9167,-46.05,-5.79,88,100,3.62,GL,1675551411
340,yafran,32.0633,12.5286,7.1,93,37,1.3,LY,1675551411
